bronid,bron
MI0201.02524,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2524 Peper Spaanse rauw"
MI0201.02726,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2726 Wortel bospeen rauw"
MI0201.02737,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2737 Ui sla- rauw"
MI0201.02739,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2739 Komkommer m schil rauw"
MI0201.02744,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2744 Aardappelen Nicola z schil gekookt"
MI0201.02748,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2748 Peer m schil"
MI0201.02749,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2749 Druiven blauwe m schil"
MI0201.02751,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2751 Appel Elstar m schil"
MI0201.02759,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2759 Kaas Goudse 48+ oud"
MI0201.02764,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2764 Speculaas z roomboter"
MI0201.02766,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2766 Worst rook- varkens gekookt"
MI0201.02769,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2769 Ei kippen- scharrel rauw"
MI0201.02770,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2770 Ei kippen- scharrel gekookt"
MI0201.02779,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2779 Pasta witte z ei gekookt"
MI0201.02783,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2783 Brood meergranen- m div zaden obv bloem"
MI0201.02784,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2784 Brood meergranen- m div zaden obv meel"
MI0201.02809,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2809 Muesli vruchten-"
MI0201.02811,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2811 Brood volkoren- fijn"
MI0201.02844,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2844 Noten macadamia- ongezouten"
MI0201.02923,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2923 Chips naturel"
MI0201.02924,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 2924 Chips paprika ea smaken"
MI0201.03034,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3034 Gehakt mager runder- rauw"
MI0201.03045,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3045 Kaas schapen-/geiten- Turkse 50+ blik"
MI0201.03047,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3047 Yoghurt Turkse 10% vet"
MI0201.03153,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3153 Quinoa rauw"
MI0201.03219,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3219 Kiwi gele"
MI0201.03243,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3243 Olie kokos-"
MI0201.03318,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3318 Koolvis (Alaska) rauw"
MI0201.03449,"Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product: 3449 Olie koolzaad-/raapzaad-"
